KEGG	Name	Equation	MetaNetX	Rhea	ModelSEED	BiGG	MetaCyc	SABIO-RK
R04046	NADH:N-hydroxy-2-acetamidofluorene N-oxidoreductase	2-Acetamidofluorene + NAD+ + H2O <=> N-Hydroxy-2-acetamidofluorene + NADH + H+	MNXR108617	13109;13110;13111;13112	rxn02839			
R04047	NADPH:N-hydroxy-2-acetamidofluorene N-oxidoreductase	2-Acetamidofluorene + NADP+ + H2O <=> N-Hydroxy-2-acetamidofluorene + NADPH + H+	MNXR108618	13113;13114;13115;13116	rxn02840			
R04048		2-Dehydro-D-glucose + Oxygen <=> 2-Dehydro-D-glucono-1,5-lactone + Hydrogen peroxide	MNXR151827		rxn02841			570
R04049		2-Deoxy-D-gluconate + NAD+ <=> 3-Dehydro-2-deoxy-D-gluconate + NADH + H+	MNXR97263	12160;12161;12162;12163	rxn02842	DGC3D	KDUD-RXN	
R04050	Malonyl-CoA:3,4-dichloroaniline N-malonyltransferase	Malonyl-CoA + 3,4-Dichloroaniline <=> CoA + N-(3,4-Dichlorophenyl)-malonamate	MNXR108620	21060;21061;21062;21063	rxn02843		2.3.1.114-RXN	
R04051		3-Phosphonopyruvate + L-Glutamate <=> 2-Amino-3-phosphonopropanoate + 2-Oxoglutarate	MNXR108621		rxn02844			
R04053	3-phosphonopyruvate carboxy-lyase	3-Phosphonopyruvate <=> Phosphonoacetaldehyde + CO2	MNXR108622	20768;20769;20770;20771	rxn02845		4.1.1.82-RXN	3786
R04055	triacylglycerol:3beta-hydroxysteroid O-acyltransferase	Triacylglycerol + 3beta-Hydroxysteroid <=> Diacylglycerol + 3beta-Hydroxysteroid ester	MNXR148527					
R04056	4-Acetamidobutyryl-CoA amidohydrolase	4-Acetamidobutanoyl-CoA + H2O <=> Acetate + 4-Aminobutanoyl-CoA	MNXR108624	22928;22929;22930;22931	rxn02847		4-ACETAMIDOBUTYRYL-COA-DEACETYLASE-RXN	
R04057	Acetyl-CoA:5-hydroxypentanoate CoA-transferase	Acetyl-CoA + 5-Hydroxypentanoate <=> Acetate + 5-Hydroxypentanoyl-CoA	MNXR108625	23496;23497;23498;23499	rxn02848		5-HYDROXYPENTANOATE-COA-TRANSFERASE-RXN	
R04058	L-Glutaminyl-peptide gamma-gluramyltransferase (cyclizing)	L-Glutaminyl-peptide <=> 5-Oxoprolyl-peptide + Ammonia	MNXR148529					
R04059	(+/-)-trans-acenaphthene-1,2-diol:NADP+ oxidoreductase	(+/-)-trans-Acenaphthene-1,2-diol + 2 NADP+ <=> Acenaphthenequinone + 2 NADPH + 2 H+	MNXR108627		rxn02850		1.10.1.1-RXN	
R04060	anhydrotetracycline,NADPH:oxygen oxidoreductase (6-hydroxylating)	Anhydrotetracycline + Oxygen + NADPH + H+ <=> 5a,11a-Dehydrotetracycline + NADP+ + H2O	MNXR139240	11976;11977;11978;11979	rxn02851		ANHYDROTETRACYCLINE-MONOOXYGENASE-RXN	
R04061	Benzene-1,2,4-triol:oxygen 1,2-oxidoreductase (decyclizing)	Benzene-1,2,4-triol + Oxygen <=> 3-Hydroxy-cis,cis-muconate	MNXR139241	19441;19442;19443;19444	rxn02852		RXN-17556	
R04062	S-Adenosyl-L-methionine:calmodulin-L-lysine N6-methyltransferase	S-Adenosyl-L-methionine + Calmodulin L-lysine <=> S-Adenosyl-L-homocysteine + Calmodulin N6-methyl-L-lysine	MNXR108629		rxn06570			
R04063	Cypridina-luciferin:oxygen 2-oxidoreductase(decarboxylating)	Cypridina luciferin + Oxygen <=> Oxidized Cypridina luciferin + hn + CO2	MNXR108630		rxn06571			
R04065	Imidazole acetaldehyde:NAD+ oxidoreductase	Imidazole-4-acetaldehyde + NAD+ + H2O <=> Imidazole-4-acetate + NADH + H+	MNXR152949	31059;31060;31061;31062	rxn02853;rxn32515;rxn32516	IMACTD;IMACTD_m	RXN-10089	3798
R04066	imidazole-4-acetate,NADH:oxygen oxidoreductase (5-hydroxylating)	Imidazole-4-acetate + Oxygen + NADH + H+ <=> 4-Imidazolone-5-acetate + NAD+ + H2O	MNXR142016		rxn02854;rxn32671;rxn32672		IMIDAZOLEACETATE-4-MONOOXYGENASE-RXN	
R04068	Imidazole-4-acetate:5-phosphoribosyl-diphosphate ligase (ADP- and pyrophosphate- forming)	ATP + Imidazole-4-acetate + 5-Phospho-alpha-D-ribose 1-diphosphate + H2O <=> ADP + Orthophosphate + 1-(5-Phosphoribosyl)imidazole-4-acetate + Diphosphate	MNXR148531	16485;16486;16487;16488	rxn02855;rxn19011		6.3.4.8-RXN	
R04070	N5-Acyl-L-ornithine-ester hydrolase	N5-Acyl-L-ornithine ester + H2O <=> N5-Acyl-L-ornithine + Alcohol	MNXR148533					
R04071	UDPglucose:zeatin 7-glucosyltransferase	UDP-glucose + N6-Alkylaminopurine <=> UDP + N6-Alkylaminopurine-7-beta-D-glucoside	MNXR152092	23272;23273;23274;23275	rxn06574		CYTOKININ-7-BETA-GLUCOSYLTRANSFERASE-RXN	
R04072	dolichyl-beta-D-mannosyl-phosphate:protein-serine O-D-mannosyltransferase	Dolichyl phosphate D-mannose + [Protein]-L-serine <=> Dolichyl phosphate + 3-O-(alpha-D-Mannosyl)-L-serinyl-[protein]	MNXR148536					
R04073	Peptide-L-aspartate,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)	Peptide L-aspartate + 2-Oxoglutarate + Oxygen <=> Peptide 3-hydroxy-L-aspartate + Succinate + CO2	MNXR148538					
R04074	NAD+:peptide-diphthamide N-(ADP-D-ribosyl)transferase	NAD+ + Peptide diphthamide <=> Nicotinamide + Peptide N-(ADP-D-ribosyl)diphthamide	MNXR148540					
R04076	protein-N(pi)-phosphohistidine:L-sorbose 1-phosphotransferase	Protein N(pi)-phospho-L-histidine + L-Sorbose <=> Protein histidine + Sorbose 1-phosphate	MNXR143524		rxn06578			
R04077	S-Adenosyl-L-methionine:5,8,13,13a-tetrahydrocolumbamine 2-O-methyltransferase	S-Adenosyl-L-methionine + Isocorypalmine <=> S-Adenosyl-L-homocysteine + Tetrahydropalmatine	MNXR108639	22536;22537;22538;22539	rxn02857		2.1.1.89-RXN	3808
R04078	Watasenia-luciferin:oxygen 2-oxidoreductase (decarboxylating)	Watasenia luciferin + Oxygen <=> Oxidized Watasenia luciferin + hn + CO2	MNXR108640		rxn06579			
R04080	beta-Cyclopiazonate:(acceptor) oxidoreductase (cyclizing)	beta-Cyclopiazonate + Acceptor <=> Cyclopiazonic acid + Reduced acceptor	MNXR108641					
R04081	GDP-L-fucose:beta-D-galactosyl-R 2-fucosyltransferase	GDP-L-fucose + beta-D-Galactosyl-R <=> GDP + alpha-L-Fucosyl-1,2-beta-D-galactoside	MNXR148544					
R04082	GDPmannose:tRNA(Asp)-quenosine O-5''-beta-D-mannosyltransferase	GDP-mannose + tRNA(Asp)-queuosine <=> GDP + tRNA(Asp)-O-5''-beta-D-mannosylqueuosine	MNXR148546					
R04084	3,4-Dihydroxyphenylacetaldehyde hydro-lyase (adding dopamine)	3,4-Dihydroxyphenylacetaldehyde + Dopamine <=> (S)-Norlaudanosoline + H2O	MNXR108645		rxn02858		RXN-9980	
R04085	Aldehyde:oxygen oxidoreductase	1-Methylnicotinamide + Oxygen + H2O <=> N1-Methyl-4-pyridone-5-carboxamide + Hydrogen peroxide + H+	MNXR108646		rxn11592			
R04088	toluene-cis-1,2-dihydrodiol:NAD+ oxidoreductase	Toluene-cis-dihydrodiol + NAD+ <=> 2,3-Dihydroxytoluene + NADH + H+	MNXR108647	25193;25194;25195;25196	rxn02860		TOLUENE-DIOL-DEHYDROGENASE-RXN	
R04089	3-methylcatechol:oxygen 2,3-oxidoreductase(decyclizing)	2,3-Dihydroxytoluene + Oxygen <=> 2-Hydroxy-6-keto-2,4-heptadienoate	MNXR152650		rxn02861			3817
R04090	S-(2-Hydroxyacyl)glutathione hydrolase	S-(2-Hydroxyacyl)glutathione + H2O <=> Glutathione + 2-Hydroxy carboxylate	MNXR148548				RXN-7919	
R04091	O3-Acetyl-L-serine acetate-lyase (adding 3,4-dihydroxypyridin-1-yl)	O-Acetyl-L-serine + 3,4-Dihydroxypyridine + H+ <=> 3-(3,4-Dihydroxypyridin-1-yl)-L-alanine + Acetate	MNXR192630	12693;12694;12695;12696				
R04092		3-Dehydrosphinganine + FAD <=> 3-Ketosphingosine + FADH2	MNXR192350					
R04093	3-Indoleacetaldoxime hydro-lyase	Indole-3-acetaldehyde oxime <=> 3-Indoleacetonitrile + H2O	MNXR192154	23156;23157;23158;23159	rxn02864;rxn30787;rxn32604;rxn32608		RXN-19838	3820
R04094	Thioglucoside glucohydrolase	Glucobrassicin + H2O <=> 3-Indoleacetonitrile + D-Glucose + Sulfate + Sulfur	MNXR108652		rxn02865			
R04095	3-methylbutanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase	3-Methylbutanoyl-CoA + FAD <=> 3-Methylcrotonyl-CoA + FADH2	MNXR192634			ACOAD8m;MBCOAi		3822
R04096	3-Methylbutanoyl-CoA:(acceptor) oxidoreductase	3-Methylbutanoyl-CoA + Electron-transferring flavoprotein <=> 3-Methylcrotonyl-CoA + Reduced electron-transferring flavoprotein	MNXR108653		rxn39441			
R04097	3-methylbutanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(3-methylbutanoyl)transferase	3-Methylbutanoyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine	MNXR108654					
R04098		3-Methylbutanoyl-CoA <=> Branched chain fatty acid	MNXR108655		rxn06587			
R04099	3alpha-hydroxyglycyrrhetinate:NADP+ 3-oxidoreductase	3alpha-Hydroxyglycyrrhetinate + NADP+ <=> 3-Oxoglycyrrhetinate + NADPH + H+	MNXR108656	20816;20817;20818;20819	rxn02868		1.1.1.230-RXN	
R04100	3-cis-Dodecenoyl-CoA delta3-cis-delta2-trans-isomerase	3-cis-Dodecenoyl-CoA <=> 2-trans-Dodecenoyl-CoA	MNXR190888	23716;23717;23718;23719	rxn02869	DCIm;FAOXC121x	RXN-7931	
R04101	4-Chlorobenzoyl CoA chlorohydrolase	4-Chlorobenzoyl-CoA + H2O <=> 4-Hydroxybenzoyl-CoA + Cl- + H+	MNXR108658	14853;14854;14855;14856	rxn06588		3.8.1.7-RXN	3828
R04102	(+)-bornane-2,5-dione,FMNH2:oxygen oxidoreductase (1,2-lactonizing)	(+)-Bornane-2,5-dione + Reduced FMN + Oxygen <=> 5-Oxo-1,2-campholide + FMN + H2O	MNXR148553					
R04103	Penicillin amidohydrolase	Penicillin G + H2O <=> 6-Aminopenicillanate + Phenylacetic acid	MNXR145935		rxn39443	PENAM;PENAM_1	RXN-17099	
R04104	Chondroitin-D-glucuronate 5-epimerase	Chondroitin <=> Dermatan	MNXR108660					
R04105	ethyl-(R)-3-hydroxyhexanoate:NADP+ 3-oxidoreductase	Ethyl (R)-3-hydroxyhexanoate + NADP+ <=> Ethyl 3-oxohexanoate + NADPH + H+	MNXR108661	24352;24353;24354;24355	rxn02872		1.2.1.55-RXN	
R04106	ethyl-(S)-3-hydroxyhexanoate:NADP+ 3-oxidoreductase	Ethyl (S)-3-hydroxyhexanoate + NADP+ <=> Ethyl 3-oxohexanoate + NADPH + H+	MNXR108662	18269;18270;18271;18272	rxn02873		1.2.1.56-RXN	
R04108	UDPglucose:hydroxyanthraquinone O-glucosyltransferase	UDP-glucose + Hydroxyanthraquinone <=> UDP + Glucosyloxyanthraquinone	MNXR152372		rxn02874			
R04109	L-glutamate-semialdehyde: NADP+ oxidoreductase(L-glutamyl-tRNA(Glu)-forming)	L-Glutamyl-tRNA(Glu) + NADPH + H+ <=> (S)-4-Amino-5-oxopentanoate + tRNA(Glu) + NADP+	MNXR145077					
R04111	protein-N(pi)-phosphohistidine:maltose 6'-phosphotransferase	Protein N(pi)-phospho-L-histidine + Maltose <=> Protein histidine + Maltose 6'-phosphate	MNXR148555		rxn06592;rxn15449			
R04112	N-Acetylmuramoyl-Ala amidohydrolase	N-Acetylmuramoyl-Ala + H2O <=> N-Acetylmuramate + L-Alanine	MNXR108665		rxn14346			
R04113	N-Benzoyl-D-arginine-4-nitroanilide amidohydrolase	N-Benzoyl-D-arginine-4-nitroanilide + H2O <=> N-Benzoyl-D-arginine + 4-Nitroaniline	MNXR108666	14421;14422;14423;14424	rxn02876;rxn18167		3.5.1.72-RXN	3838
R04115	cis-1,2-dihydronaphthalene-1,2-diol:NAD+ 1,2-oxidoreductase	cis-1,2-Dihydronaphthalene-1,2-diol + NAD+ <=> Naphthalene-1,2-diol + NADH + H+	MNXR108667	11832;11833;11834;11835	rxn02877		1.3.1.29-RXN	
R04117	naphthalene-1,2-diol:oxygen oxidoreductase	Naphthalene-1,2-diol + Oxygen <=> 2-Hydroxychromene-2-carboxylate	MNXR108668	27310;27311;27312;27313	rxn02878;rxn33146;rxn33147		RXN-8612	3841
R04118	Oligoglycosylglucosylceramide glycohydrolase	Oligoglycosylglucosylceramide + H2O <=> Oligoglycosylglucose + N-Acylsphingosine	MNXR148557					
R04119	12,13-Diacylphorbate 12-acylhydrolase	Phorbol 12,13-dibutanoate + H2O <=> Phorbol 13-butanoate + Butanoic acid	MNXR108670	21316;21317;21318;21319	rxn02879		PHORBOL-DIESTER-HYDROLASE-RXN	
R04120	peptide-L-methionine:thioredoxin-disulfide S-oxidoreductase [L-methionine (S)-S-oxide-forming]	Peptide-L-methionine + Thioredoxin disulfide + H2O <=> Peptide-L-methionine (S)-S-oxide + Thioredoxin	MNXR148561					
R04121	Fatty acid,reduced-flaboprotein:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)	[Reduced NADPH---hemoprotein reductase] + Fatty acid + Oxygen <=> alpha-Hydroxy fatty acid + [Oxidized NADPH---hemoprotein reductase] + H2O	MNXR148563					
R04122	alkane,reduced-flavoprotein:oxygen oxidoreductase (RH-hydroxylating)	[Reduced NADPH---hemoprotein reductase] + Alkane + Oxygen <=> [Oxidized NADPH---hemoprotein reductase] + ROH + H2O	MNXR148565					
R04123	Transferrin[Fe(II)]2:NAD+ oxidoreductase	Transferrin[Fe(II)]2 + NAD+ + H+ <=> Transferrin[Fe(III)]2 + NADH	MNXR104797		rxn06598;rxn35410	TFENFEOR		
R04124		Transferrin[Fe(II)]2 <=> Apotransferrin + 2 Fe2+	MNXR108674		rxn39446			
R04125	S-aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming)	S-Aminomethyldihydrolipoylprotein + Tetrahydrofolate <=> Dihydrolipoylprotein + 5,10-Methylenetetrahydrofolate + Ammonia	MNXR144965					
R04126	ATP:1-O-alkyl-sn-glycerol 3-phosphotransferase	ATP + 1-Alkyl-sn-glycerol <=> ADP + 1-Alkyl-sn-glycero-3-phosphate	MNXR148568	16937;16938;16939;16940				
R04127	UDPglucose:13-hydroxydocosanoate 13-beta-D-glucosyltransferase	UDP-glucose + 13-Hydroxydocosanoic acid <=> UDP + 13-beta-D-Glucosyloxydocosanoate	MNXR152090	22316;22317;22318;22319	rxn02880;rxn19914		HYDROXYDOCOSANOATE-TRANS-RXN	
R04130	2,6-dihydroxypyridine,NADH:oxygen oxidoreductase (3-hydroxylating)	2,6-Dihydroxypyridine + Oxygen + NADH + H+ <=> 2,3,6-Trihydroxypyridine + NAD+ + H2O	MNXR139250	16917;16918;16919;16920	rxn02881		1.14.13.10-RXN	3851
R04131		2-Oxohept-3-enedioate + H2O <=> 4-Hydroxy-2-oxo-heptanedioate	MNXR152374					
R04132		2-Oxohept-3-enedioate + H2O <=> 2,4-Dihydroxyhept-2-enedioate	MNXR152227					
R04133	5-Oxopent-3-ene-1,2,5-tricarboxylate carboxy-lyase	5-Carboxy-2-oxohept-3-enedioate <=> 2-Oxohept-3-enedioate + CO2	MNXR152376					
R04134		2-Oxohept-3-enedioate <=> 2-Hydroxyhepta-2,4-dienedioate	MNXR152378					3855
R04135	3-Hydroxy-L-glutamate 1-carboxy-lyase	3-Hydroxy-L-glutamate <=> 4-Amino-3-hydroxybutanoate + CO2	MNXR108680	14073;14074;14075;14076	rxn02886		HYDROXYGLUTAMATE-DECARBOXYLASE-RXN	
R04136	3-Hydroxybenzyl-alcohol:NADP+ oxidoreductase	3-Hydroxybenzyl alcohol + NADP+ <=> 3-Hydroxybenzaldehyde + NADPH + H+	MNXR108681	22340;22341;22342;22343	rxn02887		1.1.1.97-RXN	3857
R04137	3-hydroxyisovaleryl-CoA hydro-lyase	3-Hydroxyisovaleryl-CoA <=> 3-Methylcrotonyl-CoA + H2O	MNXR190216	31079;31080;31081;31082	rxn02888;rxn35541	FAOXC5C5OHm		3858
R04138	3-Methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)	ATP + 3-Methylcrotonyl-CoA + HCO3- <=> ADP + Orthophosphate + 3-Methylglutaconyl-CoA	MNXR195395	13589;13590;13591;13592	rxn02889;rxn27997	MCCC;MCCCrm;MCTC;MCTC_1		3859
R04139	3alpha-Hydroxy-5beta-cholanate:NAD+ oxidoreductase	Lithocholic acid + NAD+ <=> 3-Oxo-5beta-cholanate + NADH + H+	MNXR148570	19585;19586;19587;19588	rxn02890		1.1.1.52-RXN	3860
R04140	4-Chlorophenylacetonitrile aminohydrolase	4-Chlorophenylacetonitrile + 2 H2O <=> 4-Chlorophenylacetate + Ammonia	MNXR108683	20657;20658;20659;20660	rxn02891;rxn40855		3.5.5.5-RXN	
R04141	4-Methylumbelliferyl-acetate acylhydrolase	4-Methylumbelliferyl acetate + H2O <=> 4-Methylumbelliferone + Acetate	MNXR108684	12208;12209;12210;12211	rxn02892		3.1.1.56-RXN	3862
R04142		5-Acetamidopentanoate + NADH + H+ + CO2 <=> 6-Acetamido-2-oxohexanoate + NAD+ + H2O	MNXR108685	42508;42509;42510;42511	rxn02893		KETAMID-RXN	
R04143	ATP:S5-methyl-5-thio-D-ribose 1-phosphotransferase	ATP + 5-Methylthio-D-ribose <=> ADP + S-Methyl-5-thio-D-ribose 1-phosphate	MNXR191997	22312;22313;22314;22315	rxn02894	MTRK	5-METHYLTHIORIBOSE-KINASE-RXN	
R04144	5-Phospho-D-ribosylamine:glycine ligase (ADP-forming)	ATP + 5-Phosphoribosylamine + Glycine <=> ADP + Orthophosphate + 5'-Phosphoribosylglycinamide	MNXR188698	17453;17454;17455;17456	rxn02895;rxn27916	PPRGL;PPRGLh;PRAGSr	GLYRIBONUCSYN-RXN	
R04145	S-Adenosyl-L-methionine:cytochrome-c-L-lysine N6-methyltransferase	S-Adenosyl-L-methionine + Cytochrome c L-lysine <=> S-Adenosyl-L-homocysteine + Cytochrome c N6-methyl-L-lysine	MNXR108686		rxn06602			
R04146	N-Acetyl-D-galactosaminoglycan acetylhydrolase	N-Acetyl-D-galactosaminoglycan + H2O <=> D-Galactosaminoglycan + Acetate	MNXR108687		rxn06603			
R04147		Isopenicillin N <=> Penicillin N	MNXR108688	20033;20034;20035;20036	rxn02896		5.1.1.17-RXN	
R04148	Nicotinate-nucleotide:dimethylbenzimidazole phospho-D-ribosyltransferase	Nicotinate D-ribonucleotide + Dimethylbenzimidazole <=> Nicotinate + N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole + H+	MNXR101979	11196;11197;11198;11199	rxn02897;rxn38087	NNDMBRT	DMBPPRIBOSYLTRANS-RXN	3868
R04149	Glycoprotein-phosphatidylinositol phosphatidohydrolase	Glycoprotein phosphatidylinositol + H2O <=> Phosphatidate + Glycoprotein inositol	MNXR191254					
R04150	O-Succinylbenzoyl-CoA 1,4-dihydroxy-2-naphthoate-lyase	2-Succinylbenzoyl-CoA <=> 1,4-Dihydroxy-2-naphthoate + CoA	MNXR145795	15525;15526;15527;15528	rxn02898	NPHS		
R04151	(+)-cis-3,4-dihydrophenanthrene-3,4-diol:NAD+ 3,4-oxidoreductase	(+)-cis-3,4-Dihydrophenanthrene-3,4-diol + NAD+ <=> Phenanthrene-3,4-diol + NADH + H+	MNXR108690	16253;16254;16255;16256	rxn02899		1.3.1.49-RXN	
R04152	(2-Aminoethyl)phosphonate:pyruvate aminotransferase	2-Aminoethylphosphonate + Pyruvate <=> Phosphonoacetaldehyde + L-Alanine	MNXR95497	17021;17022;17023;17024	rxn02900	AEPPYRTA	2.6.1.37-RXN	
R04153	Dimethylsulfonioacetate:L-homocysteine S-methyltransferase	Dimethylsulfonioacetate + L-Homocysteine <=> S-Methylthioglycolate + L-Methionine + H+	MNXR108691	22788;22789;22790;22791	rxn02901		2.1.1.3-RXN	
R04154	Tetrahydroxypteridine lyase (isomerizing)	Tetrahydroxypteridine <=> Xanthine-8-carboxylate	MNXR139256	18097;18098;18099;18100	rxn02902		TETRAHYDROXYPTERIDINE-CYCLOISOMERASE-RXN	
R04155		Transferrin[Fe(III)]2 <=> Apotransferrin + 2 Fe3+	MNXR108693		rxn39447			
R04156	[Glycogen-synthase D] phosphohydrolase	[Glycogen-synthase D] + H2O <=> [Glycogen-synthase I] + Orthophosphate	MNXR108694		rxn06606;rxn19860		GLYCOGEN-SYNTHASE-D-PHOSPHATASE-RXN	
R04157	alpha(omega)-Dicarboxylic acid:CoA ligase (AMP-forming)	ATP + alpha,omega-Dicarboxylic acid + CoA <=> AMP + Diphosphate + omega-Carboxyacyl-CoA	MNXR108695					
R04158	geranylgeranyl diphosphate:sn-glyceryl phosphate geranylgeranyltransferase	Geranylgeranyl diphosphate + sn-Glycerol 1-phosphate <=> Diphosphate + 3-(O-Geranylgeranyl)-sn-glycerol 1-phosphate	MNXR100116	23404;23405;23406;23407	rxn17641;rxn39448	GGGPS	2.5.1.41-RXN	
R04159	(5-L-glutamyl)-peptide:amino-acid 5-glutamyltransferase	(5-L-Glutamyl)-peptide + Amino acid <=> Peptide + 5-L-Glutamyl amino acid	MNXR148572					
R04160		(S)-4-Hydroxymandelate + Acceptor <=> 4-Hydroxyphenylglyoxylate + Reduced acceptor	MNXR108698					
R04161	(S)-4-Hydroxymandelate racemase	(S)-4-Hydroxymandelate <=> (R)-4-Hydroxymandelate	MNXR108699		rxn02904		HYDROXY-MANDELATE-RACEMASE-RXN	
R04162	1-Alkyl-2-acyl-sn-glycero-3-phosphate phosphohydrolase	2-Acyl-1-alkyl-sn-glycero-3-phosphate + H2O <=> 1-Alkyl-2-acylglycerol + Orthophosphate	MNXR108700	36239;36240;36241;36242	rxn06610			
R04163	21-Hydroxypregnenolone:NAD+ 3-oxidoreductase	21-Hydroxypregnenolone + NAD+ <=> 11-Deoxycorticosterone + NADH + H+	MNXR108701		rxn02905	HMR_1941		
R04165	11-Deoxycorticosterone ketol-isomerase	11-Deoxycorticosterone <=> 20-Hydroxy-3-oxopregn-4-en-21-al	MNXR108702	17861;17862;17863;17864	rxn02907		CORTICOSTEROID-SIDE-CHAIN-ISOMERASE-RXN	
R04166	16alpha-Hydroxyprogesterone hydro-lyase	16alpha-Hydroxyprogesterone <=> 16-Dehydroprogesterone + H2O	MNXR108703	12584;12585;12586;12587	rxn02908		4.2.1.98-RXN	
R04167	2-Carboxy-D-arabinitol-1-phosphate 1-phosphohydrolase	2-Carboxy-D-arabinitol 1-phosphate + H2O <=> 2-Carboxy-D-arabinitol + Orthophosphate	MNXR148576	17837;17838;17839;17840	rxn02909			
R04168	Nucleoside:purine(pyrimidine) deoxy-D-ribosyltransferase	Deoxynucleoside + Base <=> Deoxynucleoside + Base	MNXR108705;MNXR108706					
R04169	S-Adenosyl-L-methionine:2-methylpropanal-oxime O-methyltransferase	S-Adenosyl-L-methionine + (E)-2-Methylpropanal oxime <=> S-Adenosyl-L-homocysteine + 2-Methylpropanal O-methyloxime	MNXR108707	10996;10997;10998;10999	rxn02910			
R04170	(S)-3-Hydroxydodecanoyl-CoA hydro-lyase	(S)-3-Hydroxydodecanoyl-CoA <=> 2-trans-Dodecenoyl-CoA + H2O	MNXR153439	31075;31076;31077;31078	rxn02911;rxn19662;rxn34731	ECOAH5;ECOAH5m;ECOAH5p	RXN-20675	3890
R04171	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	3-Hydroxy-L-kynurenine + 2-Oxoglutarate <=> 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate + L-Glutamate	MNXR108708	65888;65889;65890;65891	rxn02912;rxn21079		RXN-10721	12045
R04172		3-Hydroxy-L-kynurenine <=> 3-Hydroxykynurenamine + CO2	MNXR94906		rxn02913	3HXKYNDCL		
R04173	3-Phosphoserine:2-oxoglutarate aminotransferase	O-Phospho-L-serine + 2-Oxoglutarate <=> 3-Phosphonooxypyruvate + L-Glutamate	MNXR162393	14329;14330;14331;14332	rxn02914;rxn20630	PSAT;PSAT_m;PSERT;PSTA	PSERTRANSAM-RXN	3893
R04174	6-Acetamido-2-oxohexanoate amidohydrolase	6-Acetamido-2-oxohexanoate + H2O <=> Acetate + 6-Amino-2-oxohexanoate	MNXR108709		rxn02915			
R04175		6-Amino-2-oxohexanoate <=> Delta1-Piperideine-2-carboxylate + H2O	MNXR95853	31067;31068;31069;31070	rxn02916	AOXHEXCYCL;PPD2CSPp	RXN-8172	
R04176	NAD+:poly(adenosine diphosphate D-ribose)ADP-D-ribosyltransferase	NAD+ + ADP-D-ribosyl-acceptor <=> Nicotinamide + ADP-D-ribosyl-acceptor + H+						
R04177	2-Hydroxyethylenedicarboxylate hydro-lyase	2-Hydroxyethylenedicarboxylate <=> Acetylenedicarboxylate + H2O	MNXR139258		rxn02917		RXN-21382	
R04178	coproporphyrinogen-III:oxygen oxidoreductase (coproporphyrin-forming)	Coproporphyrinogen III + 3 Oxygen <=> Coproporphyrin III + 3 Hydrogen peroxide	MNXR108712	43436;43437;43438;43439	rxn47796		RXN-17517	13675
R04179	UDPglucose:glycoprotein-D-mannose glucosephosphotransferase	UDP-glucose + D-Mannosylglycoprotein <=> UMP + 6-(D-Glucose-1-phospho)-D-mannosylglycoprotein	MNXR152381					
R04180	6-(D-Glucose-1-phospho)-D-mannosylglycoprotein glucose-1-phosphohydrolase	6-(D-Glucose-1-phospho)-D-mannosylglycoprotein + H2O <=> D-Glucose 1-phosphate + D-Mannosylglycoprotein	MNXR148577					
R04182	UDP-N-acetyl-D-galactosamine:N-acetyl-D-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide alpha-N-acetylgalactosaminyltransferase	UDP-N-acetyl-D-galactosamine + Globoside <=> UDP + N-Acetyl-D-galactosaminyl-N-Acetyl-D-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide	MNXR148579					
R04183	alpha-N-Acetyl-D-galactosaminide N-acetylgalactosaminohydrolase	Globoside + N-Acetyl-D-galactosamine <=> N-Acetyl-D-galactosaminyl-N-Acetyl-D-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide + H2O	MNXR189968					
R04184	Trihexosylceramide N-acetylhexosaminohydrolase	alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide + N-Acetyl-D-galactosamine <=> Globoside + H2O	MNXR148586					
R04185	(S)-3-(Imidazol-5-yl)lactate:NAD+ oxidoreductase	(S)-3-(Imidazol-5-yl)lactate + NAD+ <=> Imidazol-5-yl-pyruvate + NADH + H+	MNXR148589	12036;12037;12038;12039	rxn02923;rxn03330;rxn36750		RXN-7572	
R04186	(S)-3-(Imidazol-5-yl)lactate:NADP+ oxidoreductase	(S)-3-(Imidazol-5-yl)lactate + NADP+ <=> Imidazol-5-yl-pyruvate + NADPH + H+	MNXR148592	12040;12041;12042;12043	rxn02924;rxn36748;rxn36749			
