KEGG	Name	Formula	MetaNetX	ModelSEED	BiGG	ChEBI	MetaCyc	SABIO-RK	Reactome
C05931	N-Succinyl-L-glutamate	C9H13NO7	MNXM1757	cpd03525	sucglu	48957;58763	N2-SUCCINYLGLUTAMATE	24572	
C05932	N-Succinyl-L-glutamate 5-semialdehyde	C9H13NO6	MNXM1763	cpd03526	sucgsa	27657;58520	CPD-822		
C05933	N(omega)-Hydroxyarginine	C6H14N4O3	MNXM727822	cpd03527;cpd23915		43088;47819;47821;47822;60107;60111	CPD-13518		
C05936	N4-Acetylaminobutanal	C6H11NO2	MNXM1527	cpd03529	n4abutn	7386	CPD-30	8282	
C05938	L-4-Hydroxyglutamate semialdehyde	C5H9NO4	MNXM2687	cpd03530	4hglusa	27809;62637	L-4-HYDROXYGLUTAMATE_SEMIALDEHYDE		
C05939	Linatine	C10H17N3O5	MNXM727327	cpd03531		28004			
C05941	2-Oxo-4-hydroxy-5-aminovalerate	C5H9NO4	MNXM6731	cpd03532		1241			
C05942	Pyrrole-2-carboxylate	C5H5NO2	MNXM1590	cpd03533		27660;36751	PYRROLE-2-CARBOXYLATE	8286	
C05944	Pantothenol	C9H19NO4	MNXM740081	cpd03534		27373			
C05945	L-Arginine phosphate	C6H15N4O5P	MNXM3663	cpd03535	argp	18412;58477	L-ARGININE-P	1851	
C05946	(4R)-4-Hydroxy-2-oxoglutarate	C5H6O6	MNXM1106168	cpd19041		4083;62213	D-4-HYDROXY-2-KETO-GLUTARATE	8288	
C05947	L-erythro-4-Hydroxyglutamate	C5H9NO5	MNXM733010	cpd01974;cpd19042	e4hglu	16338;21285;32811;32812;6331	CPD-15057;L-ERYTHRO-4-HYDROXY-GLUTAMATE		
C05949	12-Keto-leukotriene B4	C20H30O4	MNXM6635	cpd03538	CE4990	133309;27814			R-ALL-2142810
C05950	20-COOH-Leukotriene B4	C20H30O6	MNXM740398	cpd03539		27562;90722		8292	R-ALL-2161582
C05951	Leukotriene D4	C25H40N2O6S	MNXM162546	cpd03540	leuktrD4	28666;63166	CPD66-21		R-ALL-266074
C05952	Leukotriene E4	C23H37NO5S	MNXM162503	cpd03541	leuktrE4	15650;57462	7E9E11Z14Z-5S6R-6-CYSTEIN-S-YL		R-ALL-266033
C05953	Prostaglandin A2	C20H30O4	MNXM7702	cpd03542	HC02203	133370;27820	CPD-21228	8295	R-ALL-2142755;R-ALL-2299726
C05954	Prostaglandin B2	C20H30O4	MNXM727777	cpd03543	HC02205	133391;28099	CPD-24162		R-ALL-2299721
C05955	Prostaglandin C2	C20H30O4	MNXM7703	cpd03544	HC02207	133392;27555	CPD-24163		R-ALL-2299724
C05956	Prostaglandin G2	C20H32O6	MNXM1103934	cpd03545	HC02217	27647;82629	CPD-17980	8298	R-ALL-140357
C05957	Prostaglandin J2	C20H30O4	MNXM7704	cpd03546	C05957	133396;27485	CPD-21229	8299	R-ALL-2142674
C05958	Delta-12-Prostaglandin J2	C20H30O4	MNXM739321	cpd03547	CE4876	133424;28130		8300	R-ALL-2142821
C05959	11-epi-Prostaglandin F2alpha	C20H34O5	MNXM740328	cpd03548		27595;85173		22870	R-ALL-2142710
C05960	15-Keto-prostaglandin F2alpha	C20H32O5	MNXM1104949	cpd03549	15kprostgf2	133409;28442	CPD-22745	8302	R-ALL-2142799
C05961	6-Keto-prostaglandin F1alpha	C20H34O6	MNXM1103704	cpd03550	CE0955	133451;28158			R-ALL-2142786
C05962	6-Keto-prostaglandin E1	C20H32O6	MNXM10389	cpd03551		134577;28269			
C05963	Thromboxane B2	C20H34O6	MNXM1104004	cpd03552	HC02180;txb2	28728;90696			R-ALL-443890
C05964	11-Dehydro-thromboxane B2	C20H32O6	MNXM741657	cpd03553		136539;28667			R-ALL-2142828
C05965	12(S)-HPETE	C20H32O4	MNXM2765	cpd03554	12HPET	15626;57444	5Z8Z10E14Z-12S-12-HYDROPEROXYICOS	8307	R-ALL-2142811
C05966	15(S)-HPETE	C20H32O4	MNXM730447	cpd03555	15HPET	15628;57446	5Z8Z11Z13E-15S-15-HYDROPEROXYICOS	8308	R-ALL-2142718
C05973	2-Acyl-sn-glycero-3-phosphoethanolamine	C6H13NO7PR	MNXM101606	cpd03557		28936;65213	2-ACYL-GPE		R-ALL-1498729
C05974	2-Acyl-sn-glycero-3-phosphoserine	C7H13NO9PR	MNXM1107731						
C05976	Aminoacyl-phosphatidylglycerol	C10H15NO11PR3	MNXM93172	cpd12799					
C05977	2-Acyl-1-alkyl-sn-glycero-3-phosphate	C4H7O7PR2	MNXM32703	cpd12800		37296;73332			
C05979	Propane-1-ol	C3H8O	MNXM6396	cpd03559	ppoh	28831	PROPANOL	2834	
C05980	Cardiolipin	C13H18O17P2R4	MNXM731145		clpn_hs				
C05981	Phosphatidylinositol-3,4,5-trisphosphate	C11H20O22P4R2	MNXM1105915						
C05983	Propionyladenylate	C13H18N5O8P	MNXM1103578	cpd03560	HC01668	62371;62415	PROPIONYL_ADENYLATE		
C05984	2-Hydroxybutanoic acid	C4H8O3	MNXM1103784	cpd03561	2hb	1148;50613;64552;73709	CPD-3564;Hydroxy-Butyrates	2835	
C05985	2-Propynal	C3H2O	MNXM2716	cpd03562		27976	CPD-15163		
C05986	2-Propyn-1-ol	C3H4O	MNXM5904	cpd03563		28905			
C05989	3-Oxopropionyl-CoA	C24H38N7O18P3S	MNXM1106138	cpd03564	M03168	28673;84996	CPD-17259		
C05990	Isoscoparine	C22H22O11	MNXM736534	cpd03565		18200;58407	ISOSCOPARIN		
C05993	Acetyl adenylate	C12H16N5O8P	MNXM1103443	cpd03566	HC01672	142453;37666	ACETYL_AMP		
C05994	2-Propylmalate	C7H12O5	MNXM733925	cpd02116;cpd03567		28652		2840	
C05995	7-Hydroxy-6-methyl-8-ribityllumazine	C12H16N4O7	MNXM1106085			27581			
C05996	Branched chain fatty acid		MNXM5646	cpd12803		35819;58955			
C05998	3-Hydroxyisovaleryl-CoA	C26H44N7O18P3S	MNXM1104561	cpd03570	3ivcoa	28291;62555	3-HYDROXY-ISOVALERYL-COA	2844	
C05999	Lactaldehyde	C3H6O2	MNXM732881	cpd03571;cpd27393		18419	Lactaldehydes	2845	
C06000	(S)-3-Hydroxyisobutyryl-CoA	C25H42N7O18P3S	MNXM1105906	cpd23280	3hibutcoa;HC01223	28259;62611	CPD-12173	2846	R-ALL-71847
C06001	(S)-3-Hydroxyisobutyrate	C4H8O3	MNXM1105921	cpd23281	3hmp	37373;62638	CPD-12175	2847	
C06002	(S)-Methylmalonate semialdehyde	C4H6O3	MNXM1105058	cpd19044	mmalsa;mmalsa__S;mmtsa	27821;62413	CH3-MALONATE-S-ALD	2848	
C06006	(S)-2-Aceto-2-hydroxybutanoate	C6H10O4	MNXM726902	cpd00498;cpd19045	2ahbut	27681;49256;982	2-ACETO-2-HYDROXY-BUTYRATE	2852	
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	C6H12O4	MNXM1202	cpd02535;cpd19046	23dhmp	27512;49258;882	1-KETO-2-METHYLVALERATE		
C06008	(3R)-3-Methyl-2-oxopentanoic acid	C6H10O3	MNXM94056	cpd03577	2o3mpt	28379		2854	
C06010	(S)-2-Acetolactate	C5H8O4	MNXM1103847	cpd00668;cpd19047	alac__S	16444;18409;57774;58476	2-ACETO-LACTATE	2182;2855	
C06011	Benzenamine sulfate	C6H6NO3S	MNXM8327	cpd03579		3024;61691	BENZENAMINE-SULFATE		
C06016	Pentosan		MNXM92537	cpd16320					
C06017	dTDP-D-glucuronate	C16H24N2O17P2	MNXM737541	cpd03581					
C06018	dTDP-4-acetamido-4,6-dideoxy-D-glucose	C18H29N3O15P2	MNXM1108090	cpd03582		28294;61383;68675;68677	CPD-14793	1549	
C06019	D-arabino-Hex-3-ulose 6-phosphate	C6H13O9P	MNXM1659	cpd03583		27973;58542	CPD-26	4052	
C06020	Methyl-Co(III) corrinoid protein	C20H3CoN4R21	MNXM5822	cpd12809		27833			
C06021	Co(I) corrinoid protein	C19CoN4R21	MNXM5691	cpd12810		33913			
C06022	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine	C29H51N3O18P2	MNXM1107764	cpd03584	u3hga;u3hga_HP	27392;58510;71573;71619	UDP-OHMYR-GLUCOSAMINE	8325	
C06023	D-Glucosaminide	C12H24N2O10(C6H11NO3)n	MNXM732457			35373			
C06024	3-Deoxy-D-manno-octulosonyl-lipid IV(A)	C76H142N2O30P2	MNXM1101307	cpd03585	kdolipid4	27439;60364	KDO-LIPID-IVA		
C06025	KDO2-lipid IVA	C84H154N2O37P2	MNXM1104740	cpd03586	kdo2lipid4	28526;60365	KDO2-LIPID-IVA		
C06026	KDO2-lipid A	C110H202N2O39P2	MNXM730505	cpd03587	lipa	27963;58540	KDO2-LIPID-A		
C06027	L-erythro-3-Methylmalyl-CoA	C26H42N7O20P3S	MNXM738689	cpd03588;cpd25679			CPD-9409		
C06028	2-Methylfumaryl-CoA	C26H40N7O19P3S	MNXM1102866	cpd03589	mescoa	27969;75635	CPD-9408		
C06029	L-threo-3-Methylmalate	C5H8O5	MNXM12068	cpd03590		28456			
C06030	Methyloxaloacetate	C5H6O5	MNXM1105740	cpd03591		6885	METHYLOXALO-ACETATE		
C06031	D-threo-3-Methylmalate	C5H8O5	MNXM11295	cpd03592		27736			
C06032	D-erythro-3-Methylmalate	C5H8O5	MNXM725944	cpd03593;cpd24703		25312;27394;58511;87810	CPD-7066		
C06033	Parapyruvate	C6H8O6	MNXM2196	cpd02570;cpd23110;cpd23111;cpd24357		17801;58276	CPD-11855;CPD-187	7137	
C06034	4-Hydroxy-4-methylglutamate	C6H11NO5	MNXM164302	cpd03595		167901;1848;20384			
C06035	4-Methylene-2-oxoglutarate	C6H6O5	MNXM3498	cpd03596		1898	CPD-88		
C06036	Trigalactosyl-diacylglycerol	C23H36O20R2	MNXM731446	cpd12812					
C06037	Digalactosyl-diacylglycerol	C17H26O15R2	MNXM1888	cpd12813		28396			
C06038	Acyl1-monogalactosyl-diacylglycerol	C12H15O11R3	MNXM729816			76256			
C06040	Diglucosyldiacylglycerol	C17H26O15R2	MNXM732841	cpd12815		76264			
C06041	Glycerophosphoglycoglycerolipid	C20H33O20PR2	MNXM741529						
C06042	Lipoteichoic acid	C92H201O140P25R2	MNXM738733						
C06044	4-Hydroxyphenylethanol	C8H10O2	MNXM4964	cpd03597		1879	CPD3O-4151	20919;8346	
C06046	Salidroside	C14H20O7	MNXM7761	cpd03599		9009	CPD-13354		
C06047	Stizolobate	C9H9NO6	MNXM739139	cpd03600		177665			
C06048	Stizolobinate	C9H9NO6	MNXM1108404	cpd03601			CPD-13903		
C06049	N-Formylderivatives	CH2NOR	MNXM63758	cpd03602		7282			
C06050	2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate	C8H7NO4	MNXM35254	cpd03603;cpd25536		140633;28038	CPD-9026	8352	
C06051	Isopyridoxal	C8H9NO3	MNXM3037	cpd03604		17889	CPD-383	8353	
C06052	5-Pyridoxolactone	C8H7NO3	MNXM6939	cpd03605		2124	CPD-9028	8354	
C06054	2-Oxo-3-hydroxy-4-phosphobutanoate	C4H7O8P	MNXM1514	cpd03606	ohpb	27951;58538	3OH-4P-OH-ALPHA-KETOBUTYRATE		
C06055	O-Phospho-4-hydroxy-L-threonine	C4H10NO7P	MNXM759	cpd03607;cpd22119	phthr	18336;58452	4-PHOSPHONOOXY-THREONINE		
C06056	4-Hydroxy-L-threonine	C4H9NO4	MNXM1802	cpd03608	4hthr	168935;28330;60904	CPD0-2189		
C06057	3-Aminopropane-1,2-diol	C3H9NO2	MNXM9986	cpd03609		1456			
C06058	Nitroalkane	NO2R	MNXM739174			29785	Nitroalkanes		
C06059	Cyclic amidine		MNXM167489						
C06060	Amidine		MNXM41769	cpd03611		2634;35359			
C06062	Ceramide phosphoethanolamine	C21H42N2O6PR	MNXM158322	cpd03613		28943;73202;73203;73204	Ceramides-PE		
C06066	4,5-Dihydro-5,5-dimethyl-4-(3-oxobutyl)furan-2(3H)-one	C10H16O3	MNXM37130	cpd16321		177456;27908	CPD-789		
C06067	Dimethylallyltryptophan	C16H20N2O2	MNXM1107073	cpd02632;cpd03614		17619;58209	CPD-460	7211	
C06068	Elymoclavine	C16H18N2O	MNXM5735	cpd03615		4777	CPD-12358		
C06069	Iridodial	C10H16O2	MNXM735329	cpd03616					
C06070	Iridotrial	C10H14O3	MNXM738964	cpd03617		5968			
C06071	Deoxyloganin	C17H26O9	MNXM6965	cpd03618		18370	7-DEOXYLOGANIN		
C06074	Myrcene	C10H16	MNXM2022	cpd03619		17221	CPD-4888		
C06075	Terpinolene	C10H16	MNXM4839	cpd03620		9457	CPD-4890		
C06076	Camphene	C10H16	MNXM8362	cpd03746		3830			
C06077	Pinene		MNXM7677	cpd12822		17187			
C06078	Limonene	C10H16	MNXM741618	cpd19048;cpd27407		15384	Limonenes	8375	
C06079	PR-toxin	C17H20O6	MNXM740218			7883			
C06080	Nivalenol	C15H20O7	MNXM727513	cpd03623		7599			
C06081	Polyprenol	C10H18O(C5H8)n	MNXM732454			67132			R-ALL-4419981
C06082	Abscisate	C15H20O4	MNXM725931	cpd03624		22152;2365;37569;62071	CPD-693	8379	
C06083	Tetrahymanol	C30H52O	MNXM4841	cpd03625		9493	CPD-11533		
C06084	Hopanoid		MNXM11831	cpd12824		51963		8381	
C06085	Triterpenoid		MNXM13165	cpd12825		36615			
C06086	Pimaradiene	C20H32	MNXM9029	cpd03626		50062;8210	CPD-16927		
C06087	Abietate	C20H30O2	MNXM733987	cpd03627		28987;35680	CPD-8694	8384	
C06088	Aphidicolin	C20H34O4	MNXM735895						
C06089	ent-Copalyl diphosphate	C20H36O7P2	MNXM720	cpd03629		28151;58553	ENT-COPALYL-DIPHOSPHATE		
C06090	ent-Kaurene	C20H32	MNXM1188	cpd03630		15415	CPD1F-128	8387	
C06091	Aconitine	C34H47NO11	MNXM726337	cpd03631		2430			
C06092	Veatchine	C22H33NO2	MNXM13254	cpd03632		9938			
C06093	Gibberellin A12 aldehyde	C20H28O3	MNXM729721						
C06094	Gibberellin A53	C20H28O5	MNXM734814	cpd03634		143954;27433	CPD-695	8391	
C06095	Gibberellin A44 diacid	C20H28O6	MNXM734158	cpd03635		143955;27531	CPD-10332	8392	
C06096	Gibberellin A29	C19H24O6	MNXM1103572			28040			
C06098	Zeaxanthin	C40H56O2	MNXM731637	cpd03637	zeax	27547	CPD1F-130		
C06099	d-Limonene	C10H16	MNXM741616	cpd03638		15382	CPD-8785		
C06102	Adipate semialdehyde	C6H10O3	MNXM831	cpd03640		18322;2490	6-OXO-HEXANOATE	2861	
C06103	6-Hydroxyhexanoic acid	C6H12O3	MNXM1994	cpd03641		17869;32383	CPD-102	2862	
C06104	Adipate	C6H10O4	MNXM2800	cpd03642	adpac	17128;30832;30833	ADIPATE	2863	
C06105	Cyclohexane-1,2-dione	C6H8O2	MNXM3244	cpd03643		41674	CPD0-1349	2864	
C06108	Fluoroacetate	C2H3FO2	MNXM1475	cpd03644		18172;30775	CPD-12709	8396	
C06109	Cytochrome P-450 oxidized form		MNXM66023	cpd12826;cpd30225	cytP450o	4057			
C06110	Cytochrome P-450 reduced form		MNXM12867	cpd12827;cpd30227	cytP450r	4058			
C06111	Nerolidyl diphosphate	C15H28O7P2	MNXM64464	cpd03645		7525	CPD-20328		
C06112	L-Glutamyl-tRNA(Gln)	C20H28N6O13PR(C5H8O6PR)n	MNXM731036						
C06113	L-Aspartyl-tRNA(Asn)	C14H22NO13PR2(C5H8O6PR)n	MNXM730167						
C06114	gamma-Glutamyl-beta-aminopropiononitrile	C8H13N3O3	MNXM1104882	cpd03646	HC01700	28092			
C06115	L-Arabinofuranose	C5H10O5	MNXM730692	cpd03647		6178	L-arabinofuranose		
C06118	4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate	C12H16O12	MNXM2081	cpd03648		27450;60189	CPD-11241		
C06121	3-Ketosphingosine	C18H35NO2	MNXM6791	cpd03649		20096			
C06123	Hexadecenal	C16H30O	MNXM728262	cpd01800	HC02228	17585	CPD-292		R-ALL-428671
C06124	Sphingosine 1-phosphate	C18H38NO5P	MNXM1104091	cpd03651	sphs1p	37550;60119	CPD3DJ-11366	8402	R-ALL-419305;R-ALL-428203;R-ALL-5218688
C06125	Sulfatide	C25H46NO11SR	MNXM727408	cpd12830					
C06126	Digalactosylceramide	C31H56NO13R	MNXM1104230	cpd03652		143595	Digalactosylceramides		
C06127	Digalactosylceramide sulfate	C31H56NO16SR	MNXM1104624	cpd12831			Digalactosylceramide-sulfate		
C06128	GM4	C36H63N2O16R	MNXM729037	cpd03653		27499;78482			
C06129	Ceramidepentasaccharide		MNXM5665	cpd12832					
C06130	Gal-alpha1->3(Fuc-alpha1->2)Gal-beta1->3GlcNAc-beta1->3LacCer	C57H99N2O32R	MNXM4447	cpd12833		28287			
C06131	Fuc-alpha1->2Gal-beta1->3GlcNAc-beta1->3Gal-beta1->4Glc-beta1-1'Cer	C51H89N2O27R	MNXM730678	cpd12834		28743			
C06132	Type A glycolipid	C59H102N3O32R	MNXM729469	cpd12835		62650			
C06133	GD3	C53H90N3O29R	MNXM730360	cpd03654		78436	Ganglioside-GD3		
C06134	GD2	C61H103N4O34R	MNXM736165	cpd03655					
C06135	GA2	C39H69N2O18R	MNXM1104129	cpd03656		27731	CPD-19630		
C06136	GA1	C45H79N2O23R	MNXM1104127	cpd03657		27938	CPD-19631		
C06138	GT1a	C78H130N5O47R	MNXM5618	cpd03658	gt1a_cho	27691;78447	Ganglioside-GT1a		
C06139	GQ1	C89H147N6O55R	MNXM3909	cpd03659		27515;78455	Ganglioside-GQ1b		
C06140	GT1b	C78H130N5O47R	MNXM732820	cpd03660		28058;78452	Ganglioside-GT1b		
C06141	GD1b	C67H113N4O39R	MNXM1103866	cpd03661		28175;87785	Ganglioside-GD1b		
C06142	1-Butanol	C4H10O	MNXM3230	cpd03662	1btol;btoh	28885	BUTANOL	25507;2869	
C06143	Poly-beta-hydroxybutyrate	(C4H6O2)n	MNXM739390			131525;3;53389;8295			
C06144	3-Butynoate	C4H4O2	MNXM3479	cpd03663		1461;62211			
C06145	3-Butyn-1-al	C4H4O	MNXM2644	cpd03664		28180			
C06146	3-Butyn-1-ol	C4H6O	MNXM5647	cpd03665		27444			
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	C9H18N5O14P3	MNXM4269	cpd03666	HC01710	28003			
C06149	6-(3'-Triphosphoryl-1'-methylglyceryl)-7-methyl-7,8-dihydrobiopterin	C11H20N5O13P3	MNXM10357	cpd03667					
C06151	1L-chiro-Inositol	C6H12O6	MNXM1105942	cpd25015		27374	CPD-8055		
C06152	muco-Inositol	C6H12O6	MNXM62601	cpd03668		27987	CPD-8054		
C06153	scyllo-Inositol	C6H12O6	MNXM727873	cpd03669		10642	CPD-8050	8424	
C06155	myo-Inositol 5-phosphate	C6H13O9P	MNXM19501	cpd03670		37493;84141	CPD-6701		
C06156	alpha-D-Glucosamine 1-phosphate	C6H14NO8P	MNXM1104944	cpd03671	gam1p	27625;58516	GLUCOSAMINE-1P	1854	
C06157	[Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine	C13H22NO4S2R	MNXM740465						
C06158	D-Fucono-1,4-lactone	C6H10O5	MNXM48442	cpd03673		28381		8428	
C06159	2-Dehydro-3-deoxy-D-fuconate	C6H10O5	MNXM734547			18104;58378			
C06160	(S)-Norcoclaurine	C16H17NO3	MNXM728279	cpd03675;cpd03787		17729;58253	S-NORCOCLAURINE		
C06161	(S)-Coclaurine	C17H19NO3	MNXM726665	cpd03676;cpd03789		15950;57581	S-COCLAURINE	8566	
C06162	Sanguinarine	C20H14NO4	MNXM4103	cpd03677		17183	SANGUINARINE		
C06163	(S)-cis-N-Methylstylopine	C20H20NO4	MNXM31809	cpd03678		444	CPD-7846		
C06165	Macarpine	C22H18NO6	MNXM4662	cpd03679		17101	CPD-7848		
C06167	1,2-Dehydroreticuline	C19H22NO4	MNXM3351	cpd03680		18363	12-DEHYDRORETICULINIUM		
C06171	Codeinone	C18H19NO3	MNXM726877	cpd03681		18399;58473	CODEINONE	8436	
C06172	Neopinone	C18H19NO3	MNXM2268	cpd03682		59950;7510	CPD-7712		
C06173	Thebaine	C19H21NO3	MNXM2564	cpd03683		59953;9519	CPD-7710		
C06174	Codeine	C18H21NO3	MNXM729654	cpd03684		16714;57871	CODEINE	8439	
C06175	Oripavine	C18H19NO3	MNXM737665	cpd03685		7782	CPD-7713		
C06176	Senecionine	C18H25NO5	MNXM3358	cpd03686		77617;9107	CPD-8986		
C06177	Retronecine	C8H13NO2	MNXM7739	cpd03687		8821	CPD-13504		
C06178	1-Methylpyrrolinium	C5H10N	MNXM1615	cpd03688	1mpyr	27435	CPD-7994		
C06179	Hygrine	C8H15NO	MNXM737553	cpd03689		46750			
C06180	Anabasine	C10H14N2	MNXM7067	cpd03690;cpd19105		28986;74	CPD-12317		
C06181	Piperideine	C5H9N	MNXM1438	cpd03691	pprdn	144897;26145;47858	CPD-11764		
C06182	Pelletierine	C8H15NO	MNXM5256	cpd03692		7952			
C06183	L-(+)-Anaferine	C13H24N2O	MNXM30252	cpd03693		2702			
C06184	N-Methylpelletierine	C9H17NO	MNXM7573	cpd03694		7321			
C06185	Slaframine	C10H18N2O2	MNXM82194	cpd03695		9173			
C06186	Arbutin	C12H16O7	MNXM733248	cpd03696		18305	HYDROQUINONE-O-BETA-D-GLUCOPYRANOSIDE	3779	R-ALL-3296424
C06187	Arbutin 6-phosphate	C12H17O10P	MNXM2806	cpd03697	arbt6p	2807;60929	CPD-1162	1855	
C06188	Salicin 6-phosphate	C13H19O10P	MNXM3356	cpd03698	salcn6p	64794;9003	CPD-1181	1856	
C06189	Cyclic 2,3-bisphospho-D-glycerate	C3H6O9P2	MNXM1103515	cpd03699		28699;79081		8451	
C06192	ADP-mannose	C16H25N5O15P2	MNXM1104866	cpd03700	adpman	28845	ADP-MANNOSE	3930	
C06193	Guanosine 3'-phosphate	C10H14N5O8P	MNXM2183	cpd03701	3gmp	28072;60732	CPD-3708	1857	
C06194	2',3'-Cyclic GMP	C10H12N5O7P	MNXM733912	cpd03702	23cgmp	28181;60837	CPD-3709	1900	
C06195	Imidazolone	C3H4N2O	MNXM2481	cpd03703		28470;51023	CPD-60		
C06196	2'-Deoxyinosine 5'-phosphate	C10H13N4O7P	MNXM1922	cpd03704	dimp	28806;61194	DIMP	1858	R-ALL-109330;R-ALL-109707;R-ALL-2509805
C06197	P1,P3-Bis(5'-adenosyl) triphosphate	C20H27N10O16P3	MNXM3683	cpd03705	apppa	27775;58529	ADENOSINE5TRIPHOSPHO5ADENOSINE	1859	
C06198	P1,P4-Bis(5'-uridyl) tetraphosphate	C18H26N4O23P4	MNXM1106687	cpd03706		27791			
C06199	Hordenine	C10H15NO	MNXM11832	cpd03707	C06199	5764			
C06201	2,4-Dihydroxyhept-2-enedioate	C7H10O6	MNXM730266	cpd03708		165377	CPD-15125		
C06202	Salicylaldehyde	C7H6O2	MNXM1593	cpd03709		16008	SALICYLALDEHYDE	8456	
C06203	trans-o-Hydroxybenzylidenepyruvate	C10H8O4	MNXM2044	cpd03710		59353;59354	CPDN-385		
C06204	2-Hydroxychromene-2-carboxylate	C10H8O4	MNXM2181	cpd03711		28992;59350	CPDN-384	8458	
C06205	1,2-Dihydronaphthalene-1,2-diol	C10H10O2	MNXM114239	cpd03712	dhnpthld	28516		8459	
C06206	Benzoyl phosphate	C7H7O5P	MNXM43631	cpd03713		3038		1861	
C06207	2,6-Dihydroxyphenylacetate	C8H8O4	MNXM9398	cpd03714		28440;952			
C06210	2-Hydroxy-6-keto-2,4-heptadienoate	C7H8O4	MNXM728369	cpd03715			2H6OH2-4DIENOATE	8461	
C06212	N-Methylserotonin	C11H14N2O	MNXM739020	cpd03716	nmthsrtn	48294		8462	
C06213	N-Methyltryptamine	C11H14N2	MNXM12404	cpd03717		28136	CPD-21514	8463	
C06215	Levan	C12H22O11(C6H10O5)n	MNXM733773			16703			
C06216	Celloheptaose	C42H72O36	MNXM730818			3524			
C06217	Cellohexaose	C36H62O31	MNXM736496			49533		1647	
C06218	Cellopentaose	C30H52O26	MNXM736140			49536;62976		1648	
C06219	Cellotriose	C18H32O16	MNXM5664	cpd03721		3528	CELLOTRIOSE	1649	
C06222	Sedoheptulose 1-phosphate	C7H15O10P	MNXM1101891	cpd03722		9082	CPD-21527	1619	
C06224	3,4-Dihydroxystyrene	C8H8O2	MNXM9958	cpd03723		1390	CPD-22699	8465	
C06227	Fe(III)hydroxamate	C3H3FeN3O6R3	MNXM1104626						
C06228	Ferrichrome	C27H42FeN9O12	MNXM733435	cpd03724		5019	CPD0-2241		
C06229	Fe(III)dicitrate	(C6H5O7)2. Fe	MNXM728820			4991			
C06230	Fe-enterobactin	C30H21N3O15. Fe	MNXM730708	cpd03726;cpd27027		144426;28199;38151	FERRIC-ENTEROBACTIN-COMPLEX		R-ALL-1222421
C06231	Ectoine	C6H10N2O2	MNXM1101175	cpd03727	ecto__L	27592;58515;63475	ECTOINE		
C06232	Molybdate	H2MoO4	MNXM726090			25371			
C06234	4-Methyl-L-glutamate	C6H11NO4	MNXM37623	cpd03728		1893;20440			
C06238	L-Arabinose 1-phosphate	C5H11O8P	MNXM1105774	cpd03730		35423		1480	
C06239	alpha-L-Arabinose 1-phosphate	C5H11O8P	MNXM1105773	cpd03731		28226	CPD-11650		
C06240	UDP-N-acetyl-D-mannosaminouronate	C17H25N3O18P2	MNXM1105744	cpd02703;cpd03732	uacmamu	28581;58578;70731;70738	UDP-MANNACA;UDP-NAC-MANNOS	8473	
C06241	N-Acetylneuraminate 9-phosphate	C11H20NO12P	MNXM1104151	cpd03733	acnamp	27438	N-ACETYL-NEURAMINATE-9P	1862	R-ALL-4085390
C06244	Acetamide	C2H5NO	MNXM4428	cpd03734	ad	27856;49028	ACETAMIDE	2879	
C06246	Gla protein	C7H8N2O6R2	MNXM728977	cpd12845		5366			
C06247	Gla protein precursor	C6H8N2O4R2	MNXM92342	cpd12846		5367			
C06248	D-Ribose 1-diphosphate	C5H12O10P2	MNXM735684	cpd03735					
C06249	Apo-[carboxylase]	C7H13N3O2R2	MNXM729232						
C06250	Holo-[carboxylase]	C17H27N5O4SR2	MNXM96075	cpd12848	btnCCP			8478	
C06251	Lauroyl-KDO2-lipid IV(A)	C96H176N2O38P2	MNXM731017	cpd03736		27422;61524	KDO2-LAUROYL-LIPID-IVA		
C06254	Lysophospholipid	C4H7O7PR2	MNXM62358	cpd12849		16961	Lysophospholipids		
C06255	2-Oxopentanoic acid	C5H8O3	MNXM4302	cpd03737		28644;33033	CPD-3618	2098	
C06257	1-Deoxy-D-xylulose	C5H10O4	MNXM732962	cpd03738		28354	CPD-1093		
C06258	Globin		MNXM90829	cpd12850		5386			
C06259	Ferrocytochrome b		MNXM11556	cpd12851		5034			
C06260	Ferricytochrome b		MNXM11551	cpd12852	ficytb	5022			
C06262	Phosphorus		MNXM739837						
C06263	Silicon		MNXM82095			30584			
C06264	Aluminium		MNXM729499						
C06265	Carbon		MNXM16525	cpd12856					
C06266	Boron		MNXM44607			176597;30168			
C06267	Vanadium		MNXM88703			49948			
C06268	Chromium	Cr	MNXM499438	cpd12859		28073;50076			
C06269	Arsenic	As	MNXM42674	cpd12860		35839;47217	CPD-24327;Thioarsenicals		
C06272	Gal-beta1->3GalNAc-beta1->3Gal-beta1->4Glc-beta1->1'Cer	C45H79N2O23R	MNXM588682	cpd03739					
C06273	Gal-beta1->4GalNAc-beta1->3Gal-beta1->4Glc-beta1->1'Cer	C45H79N2O23R	MNXM729630	cpd03740					
